episode,decisions,total_reward,mean_reward_per_decision,mean_waiting,switches,loss,epsilon,wall_time_s
1,140,-1183.11,-8.4508,605.74,101,139.2220,0.969,18.2
2,137,-1109.82,-8.1009,469.15,103,122.3570,0.939,23.1
3,141,-2035.42,-14.4356,503.48,99,109.6951,0.908,24.3
4,139,-1111.12,-7.9937,488.55,101,104.0941,0.878,20.5
5,136,-1105.96,-8.1321,514.32,104,122.0119,0.848,20.3
6,141,-920.39,-6.5276,529.16,99,95.6895,0.817,19.8
7,133,-687.80,-5.1714,492.32,107,84.8764,0.788,20.6
8,133,-1208.54,-9.0868,518.17,107,85.5732,0.758,20.8
9,134,-1818.42,-13.5703,472.58,106,68.3097,0.729,20.5
10,137,-474.68,-3.4648,271.29,103,64.4827,0.699,20.6
11,137,-2292.74,-16.7353,614.08,103,61.3284,0.669,20.1
12,133,-560.77,-4.2163,376.19,107,61.9107,0.639,20.5
13,130,-963.21,-7.4093,359.02,111,46.1565,0.611,19.4
14,130,-2674.37,-20.5721,555.92,110,45.5141,0.582,20.7
15,129,-713.87,-5.5339,301.26,111,45.0819,0.554,20.3
16,135,-2561.77,-18.9761,517.47,106,42.7385,0.524,20.5
17,135,-821.19,-6.0829,348.89,105,36.0938,0.494,20.6
18,132,-1144.60,-8.6712,333.15,109,34.5960,0.465,20.6
19,131,-524.12,-4.0009,356.44,110,33.0835,0.437,20.8
20,126,-220.22,-1.7478,193.97,115,33.5971,0.409,20.2
21,127,-617.21,-4.8599,428.46,114,29.0278,0.381,20.1
22,127,-603.08,-4.7487,248.98,113,28.8317,0.353,20.4
23,128,-954.18,-7.4545,213.05,113,28.1989,0.325,19.6
24,128,-1313.48,-10.2616,345.09,112,27.9539,0.297,20.1
25,126,-400.61,-3.1794,299.99,114,28.2913,0.269,19.2
26,126,-408.21,-3.2398,221.73,114,28.9814,0.241,19.9
27,130,-550.14,-4.2318,431.35,111,29.2716,0.213,19.8
28,130,-976.98,-7.5152,320.45,111,28.9333,0.184,20.0
29,138,-969.22,-7.0233,394.49,102,28.9256,0.154,19.6
30,161,-1408.17,-8.7464,995.41,79,28.9728,0.118,19.9
