episode,decisions,total_reward,mean_reward_per_decision,mean_waiting,switches,loss,epsilon,wall_time_s
1,139,1374.74,9.8902,616.77,101,9.2598,0.991,25.4
2,140,1253.84,8.9560,480.94,100,4.6137,0.982,31.2
3,139,1361.51,9.7950,621.42,102,3.7635,0.972,28.9
4,140,1455.03,10.3930,498.91,100,3.4294,0.963,27.5
5,136,1223.05,8.9930,736.04,105,4.6916,0.954,28.4
6,138,1359.93,9.8546,585.44,103,4.0807,0.945,29.3
7,136,1330.42,9.7825,458.77,105,3.9173,0.936,28.6
8,143,1308.31,9.1490,706.22,98,4.5847,0.927,29.5
9,140,1233.56,8.8112,639.65,100,4.4291,0.918,29.8
10,134,1354.53,10.1084,578.74,106,4.3263,0.909,29.2
11,133,1393.84,10.4800,595.89,107,4.1979,0.900,28.2
12,135,1372.41,10.1660,562.94,106,5.3088,0.891,28.2
13,135,1393.58,10.3228,462.42,105,4.7347,0.882,28.7
14,137,1382.61,10.0921,454.38,103,4.7822,0.873,29.6
15,135,1311.66,9.7160,518.86,105,4.6352,0.864,29.6
16,139,1180.47,8.4926,488.76,102,5.9480,0.855,29.9
17,140,1333.55,9.5254,963.31,101,5.2144,0.846,29.0
18,136,1416.98,10.4189,488.62,105,5.3407,0.837,28.9
19,137,1135.79,8.2905,952.28,103,5.9456,0.828,29.4
20,132,1285.82,9.7411,407.81,109,5.6706,0.819,29.3
21,134,1295.14,9.6653,494.82,106,5.6055,0.810,29.7
22,135,1347.98,9.9850,427.39,105,5.5506,0.801,28.6
23,140,1324.31,9.4593,803.17,101,6.1165,0.792,27.8
24,136,1309.74,9.6304,487.15,105,5.9110,0.783,28.6
25,131,1330.43,10.1560,570.53,110,6.0537,0.774,28.1
26,135,1299.42,9.6253,482.50,106,5.8477,0.766,31.0
27,134,1524.39,11.3761,369.12,106,6.6288,0.757,29.3
28,136,1377.83,10.1311,370.01,105,6.2451,0.748,29.2
29,136,1370.21,10.0751,357.96,104,6.2899,0.739,29.0
30,133,1322.49,9.9435,490.71,108,6.5835,0.730,29.0
31,133,1311.86,9.8636,755.33,108,6.7917,0.721,28.3
32,135,1338.02,9.9113,832.50,106,6.6788,0.712,33.5
33,133,1386.77,10.4269,490.05,108,6.6233,0.704,26.2
34,132,1356.94,10.2799,461.58,109,7.0336,0.695,23.0
35,132,1267.86,9.6050,698.81,108,7.0373,0.686,24.8
36,132,1319.89,9.9992,534.44,108,6.8302,0.677,25.1
37,136,1380.01,10.1471,734.17,105,6.8393,0.668,25.7
38,135,1244.83,9.2210,1423.44,105,7.1911,0.660,24.2
39,132,1360.33,10.3055,556.94,109,7.2999,0.651,25.0
40,133,1222.15,9.1891,494.31,108,7.3109,0.642,24.6
41,132,1368.06,10.3641,548.91,109,7.3108,0.633,23.8
42,130,1350.74,10.3903,430.36,110,7.9360,0.625,23.8
43,129,1249.12,9.6831,591.47,111,7.5747,0.616,26.9
44,131,1265.44,9.6598,927.06,110,7.8046,0.608,23.2
45,136,1356.87,9.9770,539.94,105,7.6677,0.599,24.1
46,134,1251.68,9.3409,727.55,107,7.7560,0.590,26.0
47,133,1465.94,11.0221,493.98,108,7.6946,0.581,26.2
48,133,1349.34,10.1454,385.19,108,7.7736,0.572,26.0
49,130,1332.35,10.2488,697.54,110,8.0294,0.564,22.7
50,131,1335.07,10.1914,589.95,110,8.0192,0.555,22.3
51,130,1238.66,9.5282,514.51,110,8.1262,0.546,22.7
52,130,1410.88,10.8529,616.46,111,7.7104,0.538,24.3
53,130,1305.26,10.0405,487.19,111,8.3259,0.529,24.0
54,126,1356.06,10.7624,486.48,114,8.3481,0.521,23.8
55,127,1263.51,9.9489,372.80,113,8.2733,0.513,25.5
56,127,1254.56,9.8784,788.65,114,8.2063,0.504,40.6
57,128,1317.20,10.2906,504.28,112,8.8228,0.496,26.6
58,134,1160.10,8.6575,954.03,106,8.6831,0.487,27.3
59,133,1275.57,9.5908,1634.44,107,8.6332,0.478,27.8
60,127,1381.04,10.8743,297.13,114,8.6843,0.470,38.7
61,130,1303.85,10.0296,476.38,111,9.1526,0.461,41.4
62,129,1185.05,9.1864,1120.75,111,9.0787,0.453,30.5
63,131,1177.83,8.9911,1319.96,110,8.7498,0.444,30.9
64,126,1184.52,9.4009,982.02,115,8.8739,0.436,30.1
