episode,decisions,total_reward,mean_reward_per_decision,mean_waiting,switches,loss,epsilon,wall_time_s
1,140,-708.10,-5.0579,605.74,101,138.0241,0.969,15.8
2,137,-695.30,-5.0752,469.15,103,121.6580,0.939,19.1
3,141,-1562.90,-11.0844,503.48,99,109.2488,0.908,21.2
4,139,-672.10,-4.8353,488.55,101,103.9876,0.878,20.4
5,136,-735.40,-5.4074,514.32,104,122.7810,0.848,20.4
6,141,-543.90,-3.8574,529.16,99,95.5687,0.817,20.0
7,133,-322.70,-2.4263,492.32,107,84.1458,0.788,21.1
8,133,-823.70,-6.1932,518.17,107,84.8289,0.758,21.1
9,134,-1493.60,-11.1463,472.58,106,67.1305,0.729,20.4
10,137,-586.40,-4.2803,294.38,104,63.2455,0.699,20.2
11,137,-1731.30,-12.6372,614.08,103,60.7798,0.669,19.7
12,136,-1213.50,-8.9228,425.79,105,61.2948,0.639,20.3
13,133,-700.70,-5.2684,641.02,107,46.1409,0.609,20.0
14,131,-1487.90,-11.3580,494.32,109,44.6385,0.581,20.0
15,127,-173.30,-1.3646,348.15,113,42.9816,0.553,20.3
16,135,-1609.50,-11.9222,414.73,105,40.3722,0.523,20.7
17,134,-350.60,-2.6164,407.78,106,34.6085,0.494,20.8
18,133,-402.70,-3.0278,251.94,107,32.7748,0.464,20.4
19,128,-315.20,-2.4625,241.05,112,32.5443,0.436,20.5
20,130,-560.00,-4.3077,218.96,110,29.8339,0.408,20.8
21,131,-409.00,-3.1221,504.35,110,28.0218,0.379,19.8
22,128,-94.30,-0.7367,235.21,113,26.8921,0.351,20.2
23,131,-1111.00,-8.4809,318.97,110,25.8580,0.322,20.0
24,133,-434.80,-3.2692,296.43,108,27.3336,0.293,20.2
25,133,-212.70,-1.5992,248.76,107,27.2031,0.263,19.6
26,127,-530.40,-4.1764,218.09,114,29.3194,0.235,20.3
27,132,-458.90,-3.4765,275.20,109,28.0122,0.206,19.3
28,128,-954.20,-7.4547,274.36,112,29.5578,0.178,19.7
29,138,-402.30,-2.9152,603.04,103,28.3853,0.148,19.5
30,144,-773.70,-5.3729,566.96,97,27.3480,0.116,19.6
