episode,decisions,total_reward,mean_reward_per_decision,mean_waiting,switches,loss,epsilon,wall_time_s
1,139,-366.85,-2.6392,616.77,101,0.9658,0.991,25.7
2,140,-263.50,-1.8821,480.94,100,0.2776,0.982,26.0
3,138,-335.08,-2.4281,564.62,102,0.1633,0.973,34.8
4,141,-276.75,-1.9628,482.38,100,0.1529,0.963,32.7
5,136,-430.88,-3.1682,735.79,105,0.2865,0.954,25.6
6,141,-376.90,-2.6730,606.28,99,0.2145,0.945,26.8
7,138,-263.30,-1.9080,534.50,103,0.2172,0.936,26.0
8,142,-331.43,-2.3340,706.92,98,0.2629,0.927,26.0
9,141,-403.28,-2.8601,563.06,99,0.2770,0.917,26.8
10,138,-404.80,-2.9333,663.46,103,0.2816,0.908,28.0
11,136,-329.63,-2.4237,451.22,105,0.2810,0.899,27.3
12,139,-313.20,-2.2532,534.86,102,0.3761,0.890,28.9
13,136,-308.15,-2.2658,493.58,104,0.3501,0.881,27.6
14,140,-247.10,-1.7650,399.71,101,0.3354,0.872,28.9
15,136,-376.65,-2.7695,601.07,104,0.3506,0.863,27.6
16,143,-299.80,-2.0965,559.92,98,0.4064,0.853,29.3
17,140,-277.25,-1.9804,458.92,100,0.4023,0.844,30.4
18,137,-262.30,-1.9146,418.66,103,0.4080,0.835,27.0
19,138,-363.08,-2.6310,654.82,102,0.4480,0.826,26.8
20,134,-300.10,-2.2396,409.28,106,0.4543,0.817,26.6
21,135,-330.98,-2.4517,528.50,106,0.4482,0.808,26.2
22,138,-297.30,-2.1543,441.71,103,0.4397,0.799,25.8
23,139,-294.98,-2.1221,461.06,101,0.4911,0.790,26.0
24,139,-299.45,-2.1543,505.04,102,0.4744,0.781,26.5
25,137,-267.67,-1.9538,391.03,103,0.4752,0.772,26.1
26,136,-266.02,-1.9561,503.10,104,0.4736,0.763,25.5
27,142,-294.40,-2.0732,328.49,99,0.5191,0.753,26.1
28,141,-257.37,-1.8254,391.89,100,0.4959,0.744,26.0
29,142,-289.40,-2.0380,357.15,99,0.5006,0.735,24.4
30,146,-252.50,-1.7295,670.92,95,0.4972,0.725,24.9
31,144,-278.95,-1.9372,556.49,97,0.5092,0.716,26.1
32,139,-266.35,-1.9162,813.65,101,0.4999,0.706,25.8
